domain,ablation,metric,delta_convention,full_value,removal_value,delta_removal_minus_full,event_count,score_coverage_rate,audit_ok,degeneracy_audit_ok,tie_epsilon
sports,full,MRR,removal_minus_full,0.20253036448346562,0.20253036448346562,0.0,10000,1.0,True,True,1e-12
sports,full,HR@5,removal_minus_full,0.2672,0.2672,0.0,10000,1.0,True,True,1e-12
sports,full,HR@10,removal_minus_full,0.3793,0.3793,0.0,10000,1.0,True,True,1e-12
sports,full,HR@20,removal_minus_full,0.5183,0.5183,0.0,10000,1.0,True,True,1e-12
sports,full,NDCG@5,removal_minus_full,0.19201899038505812,0.19201899038505812,0.0,10000,1.0,True,True,1e-12
sports,full,NDCG@10,removal_minus_full,0.22809578956579013,0.22809578956579013,0.0,10000,1.0,True,True,1e-12
sports,full,NDCG@20,removal_minus_full,0.2630918465808869,0.2630918465808869,0.0,10000,1.0,True,True,1e-12
sports,without_boundary_uncertainty,MRR,removal_minus_full,0.20253036448346562,0.20253036448346562,0.0,10000,1.0,True,True,1e-12
sports,without_boundary_uncertainty,HR@5,removal_minus_full,0.2672,0.2672,0.0,10000,1.0,True,True,1e-12
sports,without_boundary_uncertainty,HR@10,removal_minus_full,0.3793,0.3793,0.0,10000,1.0,True,True,1e-12
sports,without_boundary_uncertainty,HR@20,removal_minus_full,0.5183,0.5183,0.0,10000,1.0,True,True,1e-12
sports,without_boundary_uncertainty,NDCG@5,removal_minus_full,0.19201899038505812,0.19201899038505812,0.0,10000,1.0,True,True,1e-12
sports,without_boundary_uncertainty,NDCG@10,removal_minus_full,0.22809578956579013,0.22809578956579013,0.0,10000,1.0,True,True,1e-12
sports,without_boundary_uncertainty,NDCG@20,removal_minus_full,0.2630918465808869,0.2630918465808869,0.0,10000,1.0,True,True,1e-12
sports,without_calibration_gap,MRR,removal_minus_full,0.20253036448346562,0.20296331415704058,0.0004329496735749616,10000,1.0,True,True,1e-12
sports,without_calibration_gap,HR@5,removal_minus_full,0.2672,0.2649,-0.0022999999999999687,10000,1.0,True,True,1e-12
sports,without_calibration_gap,HR@10,removal_minus_full,0.3793,0.3788,-0.0005000000000000004,10000,1.0,True,True,1e-12
sports,without_calibration_gap,HR@20,removal_minus_full,0.5183,0.5166,-0.0017000000000000348,10000,1.0,True,True,1e-12
sports,without_calibration_gap,NDCG@5,removal_minus_full,0.19201899038505812,0.19159706838659635,-0.00042192199846177725,10000,1.0,True,True,1e-12
sports,without_calibration_gap,NDCG@10,removal_minus_full,0.22809578956579013,0.2283132273300448,0.00021743776425467432,10000,1.0,True,True,1e-12
sports,without_calibration_gap,NDCG@20,removal_minus_full,0.2630918465808869,0.26303587992878624,-5.5966652100669645e-05,10000,1.0,True,True,1e-12
sports,without_evidence_support,MRR,removal_minus_full,0.20253036448346562,0.20254904928239503,1.868479892941366e-05,10000,1.0,True,True,1e-12
sports,without_evidence_support,HR@5,removal_minus_full,0.2672,0.2675,0.00030000000000002247,10000,1.0,True,True,1e-12
sports,without_evidence_support,HR@10,removal_minus_full,0.3793,0.3787,-0.0006000000000000449,10000,1.0,True,True,1e-12
sports,without_evidence_support,HR@20,removal_minus_full,0.5183,0.5189,0.0006000000000000449,10000,1.0,True,True,1e-12
sports,without_evidence_support,NDCG@5,removal_minus_full,0.19201899038505812,0.192162287510963,0.0001432971259048843,10000,1.0,True,True,1e-12
sports,without_evidence_support,NDCG@10,removal_minus_full,0.22809578956579013,0.22792107556096816,-0.00017471400482196864,10000,1.0,True,True,1e-12
sports,without_evidence_support,NDCG@20,removal_minus_full,0.2630918465808869,0.26321093100014437,0.00011908441925745361,10000,1.0,True,True,1e-12
sports,without_counterevidence,MRR,removal_minus_full,0.20253036448346562,0.20372002768819056,0.001189663204724939,10000,1.0,True,True,1e-12
sports,without_counterevidence,HR@5,removal_minus_full,0.2672,0.2695,0.0023000000000000242,10000,1.0,True,True,1e-12
sports,without_counterevidence,HR@10,removal_minus_full,0.3793,0.3813,0.0019999999999999463,10000,1.0,True,True,1e-12
sports,without_counterevidence,HR@20,removal_minus_full,0.5183,0.5211,0.0028000000000000247,10000,1.0,True,True,1e-12
sports,without_counterevidence,NDCG@5,removal_minus_full,0.19201899038505812,0.19347378833780982,0.0014547979527516908,10000,1.0,True,True,1e-12
sports,without_counterevidence,NDCG@10,removal_minus_full,0.22809578956579013,0.2295171000274534,0.0014213104616632721,10000,1.0,True,True,1e-12
sports,without_counterevidence,NDCG@20,removal_minus_full,0.2630918465808869,0.26473973351872077,0.0016478869378338534,10000,1.0,True,True,1e-12
sports,without_risk_penalty,MRR,removal_minus_full,0.20253036448346562,0.20288658258217981,0.00035621809871419496,10000,1.0,True,True,1e-12
sports,without_risk_penalty,HR@5,removal_minus_full,0.2672,0.2676,0.00040000000000001146,10000,1.0,True,True,1e-12
sports,without_risk_penalty,HR@10,removal_minus_full,0.3793,0.3805,0.0011999999999999789,10000,1.0,True,True,1e-12
sports,without_risk_penalty,HR@20,removal_minus_full,0.5183,0.5191,0.0008000000000000229,10000,1.0,True,True,1e-12
sports,without_risk_penalty,NDCG@5,removal_minus_full,0.19201899038505812,0.19234445609267542,0.0003254657076172951,10000,1.0,True,True,1e-12
sports,without_risk_penalty,NDCG@10,removal_minus_full,0.22809578956579013,0.22867691170705043,0.0005811221412602985,10000,1.0,True,True,1e-12
sports,without_risk_penalty,NDCG@20,removal_minus_full,0.2630918465808869,0.26355727792706996,0.0004654313461830428,10000,1.0,True,True,1e-12
toys,full,MRR,removal_minus_full,0.25107494969225613,0.25107494969225613,0.0,10000,1.0,True,True,1e-12
toys,full,HR@5,removal_minus_full,0.3154,0.3154,0.0,10000,1.0,True,True,1e-12
toys,full,HR@10,removal_minus_full,0.3987,0.3987,0.0,10000,1.0,True,True,1e-12
toys,full,HR@20,removal_minus_full,0.5138,0.5138,0.0,10000,1.0,True,True,1e-12
toys,full,NDCG@5,removal_minus_full,0.24491902805038585,0.24491902805038585,0.0,10000,1.0,True,True,1e-12
toys,full,NDCG@10,removal_minus_full,0.2717104421622066,0.2717104421622066,0.0,10000,1.0,True,True,1e-12
toys,full,NDCG@20,removal_minus_full,0.3005911527108128,0.3005911527108128,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,MRR,removal_minus_full,0.25107494969225613,0.25107494969225613,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,HR@5,removal_minus_full,0.3154,0.3154,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,HR@10,removal_minus_full,0.3987,0.3987,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,HR@20,removal_minus_full,0.5138,0.5138,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,NDCG@5,removal_minus_full,0.24491902805038585,0.24491902805038585,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,NDCG@10,removal_minus_full,0.2717104421622066,0.2717104421622066,0.0,10000,1.0,True,True,1e-12
toys,without_boundary_uncertainty,NDCG@20,removal_minus_full,0.3005911527108128,0.3005911527108128,0.0,10000,1.0,True,True,1e-12
toys,without_calibration_gap,MRR,removal_minus_full,0.25107494969225613,0.24991638867990582,-0.0011585610123503176,10000,1.0,True,True,1e-12
toys,without_calibration_gap,HR@5,removal_minus_full,0.3154,0.3112,-0.004200000000000037,10000,1.0,True,True,1e-12
toys,without_calibration_gap,HR@10,removal_minus_full,0.3987,0.3931,-0.005599999999999994,10000,1.0,True,True,1e-12
