domain,split,row_kind,control,control_value,score_mode,ablation,eta,confidence_weight,weight_boundary,weight_calibration_gap,weight_evidence,weight_grid_label,expected_events,expected_candidates_per_event,expected_candidate_key_count,tie_break_seed,candidate_key_count,score_key_count,score_coverage_rate,missing_score_keys,extra_score_keys,duplicate_score_keys,invalid_scores,blank_score_keys,audit_ok,score_degeneracy_event_count,constant_score_event_count,constant_score_event_rate,max_constant_event_rate,mean_unique_scores_per_event,min_unique_scores_per_event,tie_pair_count,total_score_pair_count,tie_pair_rate,max_tie_pair_rate,degeneracy_audit_ok,sample_count,parse_success_rate,avg_latency,avg_confidence,avg_candidates,MRR,out_of_candidate_rate,HR@5,NDCG@5,coverage@5,head_exposure_ratio@5,longtail_coverage@5,HR@10,NDCG@10,coverage@10,head_exposure_ratio@10,longtail_coverage@10,HR@20,NDCG@20,coverage@20,head_exposure_ratio@20,longtail_coverage@20,metric_name,metric_value,candidate_rows_for_value
toys,test,main_control,eta,0,full,full,0.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,7.4231,1,16747158,50500000,0.3316268910891089,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2508049060992021,0.0,0.315,0.2444286159835129,0.1388105318182032,0.7396,0.0499657004291434,0.3996,0.2717138285180185,0.2292238647120044,0.74113,0.0979850996282883,0.5153,0.3006871560435116,0.3647897074128666,0.73856,0.1903386883205973,NDCG@10,0.2717138285180185,1
toys,test,main_control,eta,0.25,full,full,0.25,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2510749496922561,0.0,0.3154,0.2449190280503858,0.1388011132721441,0.7406,0.0499018872740615,0.3987,0.2717104421622066,0.2294216541792443,0.74169,0.0977777068742721,0.5138,0.3005911527108128,0.3655337725515312,0.73878,0.1907056139623183,NDCG@10,0.2717104421622066,1
toys,test,main_control,eta,0.5,full,full,0.5,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2510749496922561,0.0,0.3154,0.2449190280503858,0.1388011132721441,0.7406,0.0499018872740615,0.3987,0.2717104421622066,0.2294216541792443,0.74169,0.0977777068742721,0.5138,0.3005911527108128,0.3655337725515312,0.73878,0.1907056139623183,NDCG@10,0.2717104421622066,1
toys,test,main_control,eta,1,full,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2510749496922561,0.0,0.3154,0.2449190280503858,0.1388011132721441,0.7406,0.0499018872740615,0.3987,0.2717104421622066,0.2294216541792443,0.74169,0.0977777068742721,0.5138,0.3005911527108128,0.3655337725515312,0.73878,0.1907056139623183,NDCG@10,0.2717104421622066,1
toys,test,main_control,eta,2,full,full,2.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2498788084272199,0.0,0.3124,0.2433836801373098,0.1391825643875354,0.7418,0.0498380741189796,0.3944,0.2697697733348854,0.2314701879470866,0.74279,0.0975224542539444,0.5048,0.2975475601235301,0.3696543864523633,0.738815,0.1925402421709235,NDCG@10,0.2697697733348854,1
toys,test,main_control,eta,4,full,full,4.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2177132124550448,0.0,0.2571,0.2082315686922095,0.1502163910957065,0.72784,0.0546878739052055,0.3121,0.225844393390399,0.2544844052423627,0.71909,0.11266212529713,0.4065,0.2494484221495238,0.4064714829971697,0.713425,0.2213678349791809,NDCG@10,0.225844393390399,1
toys,test,main_control,weight_grid_label,"0.33,0.33,0.34",full,full,1.0,0.7,0.33,0.33,0.34,"0.33,0.33,0.34",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2510346719144783,0.0,0.3154,0.2448890533699356,0.1387822761800261,0.74062,0.0499018872740615,0.3987,0.2716819109698685,0.2294216541792443,0.74169,0.0977777068742721,0.5138,0.3005626215184748,0.3655337725515312,0.73878,0.1907056139623183,NDCG@10,0.2716819109698685,1
toys,test,main_control,weight_grid_label,"0.4,0.2,0.4",full,full,1.0,0.7,0.4,0.2,0.4,"0.4,0.2,0.4",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.251033838581145,0.0,0.3155,0.2449277386506591,0.1387775669069965,0.74066,0.0498540274077501,0.3987,0.271680901300849,0.2294263634522738,0.74169,0.0977936601630426,0.5138,0.3005616118494552,0.3655384818245607,0.738775,0.1907056139623183,NDCG@10,0.271680901300849,1
toys,test,main_control,weight_grid_label,"0.4,0.4,0.2",full,full,1.0,0.7,0.4,0.4,0.2,"0.4,0.4,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.4658,1,15992136,50500000,0.3166759603960396,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2510749496922561,0.0,0.3154,0.2449190280503858,0.1388011132721441,0.7406,0.0499018872740615,0.3987,0.2717104421622066,0.2294216541792443,0.74169,0.0977777068742721,0.5138,0.3005911527108128,0.3655337725515312,0.73878,0.1907056139623183,NDCG@10,0.2717104421622066,1
toys,test,main_control,weight_grid_label,"0.5,0.3,0.2",full,full,1.0,0.7,0.5,0.3,0.2,"0.5,0.3,0.2",10000,101,1010000,20260607,1010000,1010000,1.0,0,0,0,0,0,True,10000,8,0.0008,0.02,9.5921,1,15986746,50500000,0.3165692277227723,0.7,True,10000,1.0,0.0,-1.0,101.0,0.2510749496922561,0.0,0.3154,0.2449190280503858,0.1388011132721441,0.7406,0.0499018872740615,0.3987,0.2717104421622066,0.2294216541792443,0.74169,0.0977777068742721,0.5138,0.3005911527108128,0.3655337725515312,0.73878,0.1907056139623183,NDCG@10,0.2717104421622066,1
