domain,method,metric,low_bin,high_bin,low_value,high_value,delta_high_minus_low,degrades_with_uncertainty
sports,ccrp_v3,NDCG@10,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.34951584297583915,0.16327731056436023,-0.18623853241147892,True
sports,ccrp_v3,MRR,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.3166864958199404,0.14382889081429412,-0.1728576050056463,True
sports,ccrp_v3,HR@10,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.5045,0.3035,-0.20099999999999996,True
sports,ccrp_v3,HR@5,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.41,0.191,-0.21899999999999997,True
sports,ccrp_v3,HR@20,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.599,0.4465,-0.15249999999999997,True
sports,ccrp_v3,NDCG@5,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.31912660795484005,0.12735878524864971,-0.19176782270619033,True
sports,ccrp_v3,NDCG@20,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.37328362334452964,0.19918327211460252,-0.17410035122992712,True
sports,llmemb,NDCG@10,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.23580333710752902,0.13360556634948184,-0.10219777075804717,True
sports,llmemb,MRR,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.20136024544205308,0.11603726485420271,-0.08532298058785037,True
sports,llmemb,HR@10,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.4175,0.2725,-0.14499999999999996,True
sports,llmemb,HR@5,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.2815,0.1605,-0.12099999999999997,True
sports,llmemb,HR@20,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.5685,0.4295,-0.139,True
sports,llmemb,NDCG@5,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.1921957997075163,0.09785923458265669,-0.0943365651248596,True
sports,llmemb,NDCG@20,"Q01 [0.2,0.25297]","Q05 [0.342921,0.488768]",0.2741248596018449,0.1729184347193453,-0.10120642488249962,True
