domain,method,uncertainty_bin_index,uncertainty_bin,n_events,event_uncertainty_mean,event_uncertainty_min,event_uncertainty_max,avg_positive_rank,MRR,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20
sports,ccrp_v3,0,"Q01 [0.2,0.25297]",2000,0.2331045069306931,0.20000000000000004,0.252970297029703,25.5865,0.3166864958199404,0.41,0.5045,0.599,0.31912660795484005,0.34951584297583915,0.37328362334452964
sports,ccrp_v3,1,"Q02 [0.25297,0.281733]",2000,0.267726896039604,0.252970297029703,0.28173267326732676,29.322,0.22023216833151463,0.2945,0.416,0.546,0.2123354150197538,0.2512768345757375,0.28436485220176727
sports,ccrp_v3,2,"Q03 [0.281733,0.310495]",2000,0.29554631683168314,0.28173267326732676,0.3104950495049505,30.6545,0.1874855610707911,0.253,0.353,0.5145,0.17732803400424915,0.20942468365142924,0.2503036900589176
sports,ccrp_v3,3,"Q04 [0.310497,0.342921]",2000,0.3260359594059406,0.3104970297029703,0.3429207920792079,32.5795,0.16959600146501075,0.224,0.3325,0.48,0.15610819144664773,0.19081520772563823,0.22789605890118242
sports,ccrp_v3,4,"Q05 [0.342921,0.488768]",2000,0.37207549702970294,0.3429207920792079,0.48876831683168315,32.525,0.14382889081429412,0.191,0.3035,0.4465,0.12735878524864971,0.16327731056436023,0.19918327211460252
sports,llmemb,0,"Q01 [0.2,0.25297]",2000,0.2331045069306931,0.20000000000000004,0.252970297029703,26.504,0.20136024544205308,0.2815,0.4175,0.5685,0.1921957997075163,0.23580333710752902,0.2741248596018449
sports,llmemb,1,"Q02 [0.25297,0.281733]",2000,0.267726896039604,0.252970297029703,0.28173267326732676,29.6305,0.16043162414384368,0.2265,0.3645,0.5105,0.14659807405063563,0.19155711352647925,0.228332932715538
sports,llmemb,2,"Q03 [0.281733,0.310495]",2000,0.29554631683168314,0.28173267326732676,0.3104950495049505,29.7865,0.1514157812183921,0.2115,0.3315,0.482,0.13694639317194923,0.1758901850170405,0.21374257686358336
sports,llmemb,3,"Q04 [0.310497,0.342921]",2000,0.3260359594059406,0.3104970297029703,0.3429207920792079,31.741,0.14017075212961225,0.182,0.306,0.4595,0.12066410626735885,0.16064590562843514,0.19931537542040959
sports,llmemb,4,"Q05 [0.342921,0.488768]",2000,0.37207549702970294,0.3429207920792079,0.48876831683168315,32.9145,0.11603726485420271,0.1605,0.2725,0.4295,0.09785923458265669,0.13360556634948184,0.1729184347193453
sports,proex,0,"Q01 [0.2,0.25297]",2000,0.2331045069306931,0.20000000000000004,0.252970297029703,42.212,0.08487791423445501,0.095,0.178,0.321,0.061243172816484254,0.08770107441002749,0.12351760530029728
sports,proex,1,"Q02 [0.25297,0.281733]",2000,0.267726896039604,0.252970297029703,0.28173267326732676,44.5325,0.07209343829716229,0.082,0.153,0.2865,0.04937918691323667,0.0721009758895954,0.10569564884615433
sports,proex,2,"Q03 [0.281733,0.310495]",2000,0.29554631683168314,0.28173267326732676,0.3104950495049505,46.175,0.07473233576882006,0.0815,0.1445,0.2715,0.052725712633069646,0.07272368298992725,0.10434722762078709
sports,proex,3,"Q04 [0.310497,0.342921]",2000,0.3260359594059406,0.3104970297029703,0.3429207920792079,45.701,0.0723518730728686,0.081,0.1575,0.265,0.05031875508928208,0.07465482620470223,0.10129082163244946
