domain,method,uncertainty_bin_index,uncertainty_bin,n_events,event_uncertainty_mean,event_uncertainty_min,event_uncertainty_max,avg_positive_rank,MRR,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20
home,ccrp_v3,0,"Q01 [0.199962,0.272277]",2000,0.24954264851485147,0.19996237623762378,0.2722772277227723,38.7895,0.163806852590364,0.208,0.274,0.3855,0.15308545493570097,0.17441087649482664,0.2021424480342687
home,ccrp_v3,1,"Q02 [0.272279,0.297327]",2000,0.28546824950495053,0.2722792079207921,0.2973267326732673,40.057,0.12654305793006188,0.158,0.24,0.367,0.1095847827602126,0.13612183915530193,0.16816626080918312
home,ccrp_v3,2,"Q03 [0.297327,0.316982]",2000,0.3074597653465347,0.2973267326732673,0.31698217821782176,41.6115,0.1184382749725772,0.1385,0.203,0.3405,0.0998063021177062,0.12044053165229889,0.15486563001483802
home,ccrp_v3,3,"Q04 [0.31703,0.336188]",2000,0.32630407029702974,0.31702970297029703,0.33618811881188115,39.5245,0.11867014065183067,0.1505,0.2225,0.3415,0.10255580014307332,0.12556134498766808,0.15540402217783197
home,ccrp_v3,4,"Q05 [0.33619,0.457756]",2000,0.3537644920792079,0.336190099009901,0.4577564356435644,41.6445,0.10228061615601197,0.1255,0.1925,0.318,0.08386854108052723,0.10543644753688713,0.13697731814789546
home,llmemb,0,"Q01 [0.199962,0.272277]",2000,0.24954264851485147,0.19996237623762378,0.2722772277227723,38.928,0.10813615777154643,0.1365,0.219,0.349,0.08962113400574677,0.11601350518942499,0.14857112570190265
home,llmemb,1,"Q02 [0.272279,0.297327]",2000,0.28546824950495053,0.2722792079207921,0.2973267326732673,41.1135,0.09027414987289907,0.113,0.179,0.316,0.07117824842593658,0.09244603640563831,0.12651135438126848
home,llmemb,2,"Q03 [0.297327,0.316982]",2000,0.3074597653465347,0.2973267326732673,0.31698217821782176,41.493,0.0866041435695596,0.101,0.186,0.322,0.06399648988268004,0.09130175763228213,0.12543795430390203
home,llmemb,3,"Q04 [0.31703,0.336188]",2000,0.32630407029702974,0.31702970297029703,0.33618811881188115,40.728,0.0833216438447238,0.096,0.173,0.3035,0.060747031381625134,0.08532474295722474,0.11789551294566072
home,llmemb,4,"Q05 [0.33619,0.457756]",2000,0.3537644920792079,0.336190099009901,0.4577564356435644,42.19,0.08227733795582995,0.093,0.171,0.294,0.0594360446589087,0.08444460712077997,0.11529684380940977
home,proex,0,"Q01 [0.199962,0.272277]",2000,0.24954264851485147,0.19996237623762378,0.2722772277227723,46.6435,0.06520707614746303,0.0705,0.1425,0.271,0.04175030858593969,0.06474066562534998,0.09694496076716348
home,proex,1,"Q02 [0.272279,0.297327]",2000,0.28546824950495053,0.2722792079207921,0.2973267326732673,48.607,0.05885248780450017,0.0575,0.1195,0.2295,0.03510843680082879,0.05495106582365215,0.08248539762769652
home,proex,2,"Q03 [0.297327,0.316982]",2000,0.3074597653465347,0.2973267326732673,0.31698217821782176,49.6095,0.05671413422838121,0.058,0.104,0.214,0.03492954058198831,0.04964738798200385,0.07728601573486756
home,proex,3,"Q04 [0.31703,0.336188]",2000,0.32630407029702974,0.31702970297029703,0.33618811881188115,49.148,0.05727770402868999,0.056,0.1145,0.2185,0.034039990297486396,0.052700705746347096,0.07880365129586855
home,proex,4,"Q05 [0.33619,0.457756]",2000,0.3537644920792079,0.336190099009901,0.4577564356435644,48.8715,0.0586149223538912,0.061,0.108,0.215,0.03731461304998993,0.052297423324127956,0.07898301802975735
home,rlmrec,0,"Q01 [0.199962,0.272277]",2000,0.24954264851485147,0.19996237623762378,0.2722772277227723,43.153,0.06958510127396758,0.0765,0.149,0.2845,0.04564687832181162,0.06886648190242807,0.10247006472826789
home,rlmrec,1,"Q02 [0.272279,0.297327]",2000,0.28546824950495053,0.2722792079207921,0.2973267326732673,45.43,0.06418440204435684,0.067,0.1205,0.253,0.04091204183290258,0.058032028565958474,0.09112158962493072
home,rlmrec,2,"Q03 [0.297327,0.316982]",2000,0.3074597653465347,0.2973267326732673,0.31698217821782176,45.966,0.0656854151504276,0.0705,0.121,0.23,0.044105468236519854,0.06010060618523366,0.08721595922585007
home,rlmrec,3,"Q04 [0.31703,0.336188]",2000,0.32630407029702974,0.31702970297029703,0.33618811881188115,46.3325,0.06146496543958016,0.069,0.128,0.2285,0.040043241998377575,0.05886942869708651,0.08408706885497724
home,rlmrec,4,"Q05 [0.33619,0.457756]",2000,0.3537644920792079,0.336190099009901,0.4577564356435644,46.259,0.05895034963700519,0.0595,0.1155,0.2295,0.035632142415297864,0.053481328575886666,0.0817159034289605
home,ccrp_v3,-1,ALL,10000,0.30450784514851487,0.19996237623762378,0.4577564356435644,40.3254,0.12594778846016913,0.1561,0.2264,0.3505,0.10978017620744406,0.13239420796539653,0.16351113583680346
home,llmemb,-1,ALL,10000,0.30450784514851487,0.19996237623762378,0.4577564356435644,40.8905,0.09012268660291177,0.1079,0.1856,0.3169,0.06899578967097945,0.09390612986107003,0.12674255822842873
home,proex,-1,ALL,10000,0.30450784514851487,0.19996237623762378,0.4577564356435644,48.5759,0.059333264912585115,0.0606,0.1177,0.2296,0.03662857786324662,0.054867449700296195,0.08290060869107069
home,rlmrec,-1,ALL,10000,0.30450784514851487,0.19996237623762378,0.4577564356435644,45.4281,0.06397404670906748,0.0685,0.1268,0.2451,0.0412679545609819,0.059869974785318664,0.08932211717259728
