domain,method,uncertainty_bin_index,uncertainty_bin,n_events,event_uncertainty_mean,event_uncertainty_min,event_uncertainty_max,avg_positive_rank,MRR,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20
tools,ccrp_v3,0,"Q01 [0.2,0.247873]",2000,0.2304584188118812,0.20000000000000004,0.24787326732673268,35.623,0.19691303750189648,0.24,0.3105,0.4225,0.1855428060101214,0.2082490053499817,0.23620832586830712
tools,ccrp_v3,1,"Q02 [0.247875,0.26936]",2000,0.25910351683168314,0.24787524752475246,0.269360396039604,37.6505,0.16270730446491974,0.2005,0.285,0.3915,0.14847102904076648,0.17553951603804813,0.2024841672126359
tools,ccrp_v3,2,"Q03 [0.269406,0.288861]",2000,0.27896429504950493,0.2694059405940594,0.2888613861386139,37.5585,0.16117242930845746,0.202,0.2725,0.406,0.1483051802165759,0.17080017270046197,0.20409202882460004
tools,ccrp_v3,3,"Q04 [0.288861,0.311289]",2000,0.2995959217821782,0.2888613861386139,0.3112891089108911,38.055,0.14134390730324703,0.1805,0.262,0.3985,0.12667603113980636,0.15266138228307352,0.1868611829723409
tools,ccrp_v3,4,"Q05 [0.311289,0.414158]",2000,0.33020886732673266,0.3112891089108911,0.41415841584158414,40.719,0.11715955031896787,0.1455,0.218,0.347,0.10032374890130408,0.12332757626813141,0.15555363221573185
tools,llmemb,0,"Q01 [0.2,0.247873]",2000,0.2304584188118812,0.20000000000000004,0.24787326732673268,35.381,0.1284683863451299,0.1645,0.2615,0.402,0.11044876832589116,0.14154946607297678,0.17684418498798304
tools,llmemb,1,"Q02 [0.247875,0.26936]",2000,0.25910351683168314,0.24787524752475246,0.269360396039604,38.1855,0.11135106202142993,0.139,0.226,0.3605,0.09200144383282081,0.11990006130362468,0.1536623411456316
tools,llmemb,2,"Q03 [0.269406,0.288861]",2000,0.27896429504950493,0.2694059405940594,0.2888613861386139,37.7005,0.10348642869244708,0.138,0.229,0.373,0.08540438967629048,0.11436677449201468,0.1504829066838672
tools,llmemb,3,"Q04 [0.288861,0.311289]",2000,0.2995959217821782,0.2888613861386139,0.3112891089108911,37.8255,0.09906476223491227,0.12,0.2125,0.3495,0.07710127355660182,0.10670825756220036,0.14092661649995944
tools,llmemb,4,"Q05 [0.311289,0.414158]",2000,0.33020886732673266,0.3112891089108911,0.41415841584158414,39.86,0.09009709420112187,0.121,0.1995,0.3335,0.07233324569568071,0.09719298920951745,0.13061615762905338
tools,proex,0,"Q01 [0.2,0.247873]",2000,0.2304584188118812,0.20000000000000004,0.24787326732673268,46.6475,0.06459835319593683,0.0675,0.1295,0.256,0.04100830986551074,0.061017784616025576,0.09266764356736647
tools,proex,1,"Q02 [0.247875,0.26936]",2000,0.25910351683168314,0.24787524752475246,0.269360396039604,47.4165,0.06078480797903922,0.059,0.12,0.234,0.03677015631040592,0.05620574604910887,0.08458247516760113
tools,proex,2,"Q03 [0.269406,0.288861]",2000,0.27896429504950493,0.2694059405940594,0.2888613861386139,49.1355,0.061311981775295434,0.0545,0.1125,0.2225,0.03664218172132665,0.05509064784314587,0.08255276087073937
tools,proex,3,"Q04 [0.288861,0.311289]",2000,0.2995959217821782,0.2888613861386139,0.3112891089108911,47.716,0.06159301058580536,0.0645,0.119,0.2335,0.03947185440549778,0.05699565133460421,0.08526034337772008
tools,proex,4,"Q05 [0.311289,0.414158]",2000,0.33020886732673266,0.3112891089108911,0.41415841584158414,48.3865,0.05530434529851402,0.0555,0.1075,0.2185,0.032516026995792494,0.0490720541466065,0.07681142559513891
tools,rlmrec,0,"Q01 [0.2,0.247873]",2000,0.2304584188118812,0.20000000000000004,0.24787326732673268,43.776,0.08181941216480312,0.0875,0.14,0.259,0.05977815725240796,0.07644280798454688,0.10601362923727993
tools,rlmrec,1,"Q02 [0.247875,0.26936]",2000,0.25910351683168314,0.24787524752475246,0.269360396039604,43.7035,0.07008103229270417,0.0735,0.124,0.243,0.04728525445619228,0.06352458256438723,0.09291875101791948
tools,rlmrec,2,"Q03 [0.269406,0.288861]",2000,0.27896429504950493,0.2694059405940594,0.2888613861386139,43.854,0.07599956561630172,0.087,0.14,0.2455,0.05564930504960644,0.07263455235391783,0.09885969380701318
tools,rlmrec,3,"Q04 [0.288861,0.311289]",2000,0.2995959217821782,0.2888613861386139,0.3112891089108911,45.376,0.06765434939138609,0.076,0.1415,0.2495,0.045842731453223706,0.06680674876665005,0.0936468912981838
tools,rlmrec,4,"Q05 [0.311289,0.414158]",2000,0.33020886732673266,0.3112891089108911,0.41415841584158414,45.896,0.0654488695790933,0.068,0.1315,0.2355,0.04231963236543531,0.0625345868725446,0.08852757834768618
tools,ccrp_v3,-1,ALL,10000,0.27966620396039604,0.20000000000000004,0.41415841584158414,37.9212,0.1558592457794977,0.1937,0.2696,0.3931,0.14186375906171486,0.16611553052793937,0.19703986741872317
tools,llmemb,-1,ALL,10000,0.27966620396039604,0.20000000000000004,0.41415841584158414,37.7905,0.10649354669900822,0.1365,0.2257,0.3637,0.087457824217457,0.11594350972806679,0.15050644138929894
tools,proex,-1,ALL,10000,0.27966620396039604,0.20000000000000004,0.41415841584158414,47.8604,0.06071849976691817,0.0602,0.1177,0.2329,0.037281705859706714,0.055676376797898205,0.0843749297157132
tools,rlmrec,-1,ALL,10000,0.27966620396039604,0.20000000000000004,0.41415841584158414,44.5211,0.07220064580885768,0.0784,0.1354,0.2465,0.05017501611537314,0.06838865570840931,0.09599330874161652
