domain,method,kind,rank_by_NDCG@10,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20,MRR,sample_count,avg_candidates,score_coverage_rate,ranking_events,total_candidates,matched_candidates,scores_csv_lines,predictions_jsonl_lines,predictions_jsonl_line_source,ranking_eval_records_csv_lines,status_label,artifact_class,implementation_status,blocker_count,blockers_json,comparison_variant,official_repo,pinned_commit,baseline_hyperparameter_source,test_set_model_selection_allowed,primary_gate_json,comparison_csv,paired_tests_csv,paired_summary_json,claim_gate,gate_ok,ccrp_rank1_all_metrics,paired_positive_holm_significant_count,paired_all_positive_holm_significant,min_delta,min_ci_low,max_holm_p_value,local_evidence_dir,fairness_provenance_path,server_final_evidence_audit_path,server_large_artifact_manifest_path,light_evidence_sync_manifest_path,local_light_evidence_audit_path,score_audit_json_path,score_audit_txt_path,run_summary_json_path,official_light_package_ok,local_server_evidence_consistency_ok,ccrp_report_path,ccrp_user_ranks_path,local_ccrp_summary_path,local_ccrp_eval_path,local_ccrp_metrics_path,local_ccrp_coverage_path,ccrp_local_event_restat_ready,table_eligibility,row_warnings
sports,ccrp_v3_qwen3base_pointwise,internal_method,1,0.2745,0.3819,0.5172,0.19845140673482808,0.23286197589860086,0.2670062993241999,0.20756582350031022,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,same_schema_internal_method,completed_result,internal_completed,0,[],same_schema_internal_method,,,,,outputs/summary/sports_official_ccrp_gate_20260601.json,outputs/summary/sports_official_ccrp_20260601_comparison.csv,outputs/summary/sports_official_ccrp_20260601_paired_tests.csv,outputs/summary/sports_official_ccrp_20260601_paired_summary.json,sports_domain_pass,True,True,56,True,0.0272,0.0164,1.219129314796352e-06,,,,,,,,,,,,outputs\sports_large10000_100neg_ccrp_v3\report.json,outputs\sports_large10000_100neg_ccrp_v3\user_ranks.jsonl,outputs\sports_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate\tables\same_candidate_external_baseline_summary.csv,outputs\sports_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate\tables\ranking_eval_records.csv,outputs\sports_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate\tables\ranking_metrics.csv,outputs\sports_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate\tables\external_score_coverage.csv,True,main_internal_comparison_compact_certificate,
sports,llmemb,official_baseline,2,0.2124,0.3384,0.49,0.13885272155602335,0.17950042152579318,0.21768683586414428,0.15388313355762076,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,same_schema_external_baseline,completed_result,official_completed,0,[],official_code_qwen3base_default_hparams_declared_adaptation,https://github.com/Applied-Machine-Learning-Lab/LLMEmb,3458a5e225062e94b4f1a01e41f3ec82089f0407,official_default_or_recommended,False,outputs/summary/sports_official_ccrp_gate_20260601.json,outputs/summary/sports_official_ccrp_20260601_comparison.csv,outputs/summary/sports_official_ccrp_20260601_paired_tests.csv,outputs/summary/sports_official_ccrp_20260601_paired_summary.json,sports_domain_pass,True,True,56,True,0.0272,0.0164,1.219129314796352e-06,outputs/baselines/official_adapters/sports_large10000_100neg_llmemb_official_qwen3base_same_candidate,outputs\baselines\official_adapters\sports_large10000_100neg_llmemb_official_qwen3base_same_candidate\fairness_provenance.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmemb_official_qwen3base_same_candidate\server_final_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmemb_official_qwen3base_same_candidate\server_large_artifact_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmemb_official_qwen3base_same_candidate\light_evidence_sync_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmemb_official_qwen3base_same_candidate\local_light_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmemb_official_qwen3base_same_candidate\llmemb_official_score_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmemb_official_qwen3base_same_candidate\llmemb_same_candidate_score_audit.txt,outputs\baselines\official_adapters\sports_large10000_100neg_llmemb_official_qwen3base_same_candidate\llmemb_official_run_summary.json,True,True,,,,,,,,main_official_comparison_eligible,
sports,irllrec_intent,official_baseline,3,0.1573,0.2215,0.4016,0.10642150916142634,0.12691703149297534,0.17128490034441315,0.12444202662842994,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,same_schema_external_baseline,completed_result,official_completed,0,[],official_code_qwen3base_default_hparams_declared_adaptation,https://github.com/wangyu0627/IRLLRec,ee8330b456e568f87869ec6c0c553c55d43fce6e,official_default_or_recommended,False,outputs/summary/sports_official_ccrp_gate_20260601.json,outputs/summary/sports_official_ccrp_20260601_comparison.csv,outputs/summary/sports_official_ccrp_20260601_paired_tests.csv,outputs/summary/sports_official_ccrp_20260601_paired_summary.json,sports_domain_pass,True,True,56,True,0.0272,0.0164,1.219129314796352e-06,outputs/baselines/official_adapters/sports_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate,outputs\baselines\official_adapters\sports_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate\fairness_provenance.json,outputs\baselines\official_adapters\sports_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate\server_final_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate\server_large_artifact_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate\light_evidence_sync_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate\local_light_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate\irllrec_official_score_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate\irllrec_intent_same_candidate_score_audit.txt,outputs\baselines\official_adapters\sports_large10000_100neg_irllrec_intent_official_qwen3base_same_candidate\irllrec_official_run_summary.json,True,True,,,,,,,,main_official_comparison_eligible,
sports,rlmrec_graphcl,official_baseline,4,0.1212,0.1879,0.3009,0.078580389191345,0.10001773336299705,0.12818232277286493,0.09720456858848743,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,same_schema_external_baseline,completed_result,official_completed,0,[],official_code_qwen3base_default_hparams_declared_adaptation,https://github.com/HKUDS/RLMRec,22413752246de3dee8ab0d509f7f7a8889080f95,official_default_or_recommended,False,outputs/summary/sports_official_ccrp_gate_20260601.json,outputs/summary/sports_official_ccrp_20260601_comparison.csv,outputs/summary/sports_official_ccrp_20260601_paired_tests.csv,outputs/summary/sports_official_ccrp_20260601_paired_summary.json,sports_domain_pass,True,True,56,True,0.0272,0.0164,1.219129314796352e-06,outputs/baselines/official_adapters/sports_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate,outputs\baselines\official_adapters\sports_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate\fairness_provenance.json,outputs\baselines\official_adapters\sports_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate\server_final_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate\server_large_artifact_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate\light_evidence_sync_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate\local_light_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate\rlmrec_official_score_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate\rlmrec_graphcl_same_candidate_score_audit.txt,outputs\baselines\official_adapters\sports_large10000_100neg_rlmrec_graphcl_official_qwen3base_same_candidate\rlmrec_official_run_summary.json,True,True,,,,,,,,main_official_comparison_eligible,
sports,llm2rec_sasrec,official_baseline,5,0.1105,0.206,0.3657,0.06514778914391295,0.09566791850988236,0.13561659669926907,0.08828933028385053,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,same_schema_external_baseline,completed_result,official_completed,0,[],official_code_qwen3base_default_hparams_declared_adaptation,https://github.com/HappyPointer/LLM2Rec,73b481f710f67166ab958f4985d27b27fb410871,official_default_or_recommended,False,outputs/summary/sports_official_ccrp_gate_20260601.json,outputs/summary/sports_official_ccrp_20260601_comparison.csv,outputs/summary/sports_official_ccrp_20260601_paired_tests.csv,outputs/summary/sports_official_ccrp_20260601_paired_summary.json,sports_domain_pass,True,True,56,True,0.0272,0.0164,1.219129314796352e-06,outputs/baselines/official_adapters/sports_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate,outputs\baselines\official_adapters\sports_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate\fairness_provenance.json,outputs\baselines\official_adapters\sports_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate\server_final_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate\server_large_artifact_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate\light_evidence_sync_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate\local_light_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate\llm2rec_official_score_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate\llm2rec_sasrec_same_candidate_score_audit.txt,outputs\baselines\official_adapters\sports_large10000_100neg_llm2rec_sasrec_official_qwen3base_same_candidate\llm2rec_official_run_summary.json,True,True,,,,,,,,main_official_comparison_eligible,
sports,llmesr_sasrec,official_baseline,6,0.0916,0.1564,0.265,0.054919833257876506,0.0758115528438973,0.10310478593304104,0.0751149958885503,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,same_schema_external_baseline,completed_result,official_completed,0,[],official_code_qwen3base_default_hparams_declared_adaptation,https://github.com/Applied-Machine-Learning-Lab/LLM-ESR,e5dc388c12509c88c65536ecd8d231325993d4ef,official_default_or_recommended,False,outputs/summary/sports_official_ccrp_gate_20260601.json,outputs/summary/sports_official_ccrp_20260601_comparison.csv,outputs/summary/sports_official_ccrp_20260601_paired_tests.csv,outputs/summary/sports_official_ccrp_20260601_paired_summary.json,sports_domain_pass,True,True,56,True,0.0272,0.0164,1.219129314796352e-06,outputs/baselines/official_adapters/sports_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate,outputs\baselines\official_adapters\sports_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate\fairness_provenance.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate\server_final_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate\server_large_artifact_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate\light_evidence_sync_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate\local_light_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate\llmesr_official_score_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate\llmesr_sasrec_same_candidate_score_audit.txt,outputs\baselines\official_adapters\sports_large10000_100neg_llmesr_sasrec_official_qwen3base_same_candidate\llmesr_official_run_summary.json,True,True,,,,,,,,main_official_comparison_eligible,
sports,proex_profile,official_baseline,7,0.0821,0.1527,0.2777,0.051682655562088085,0.07417226634971949,0.10540647147617481,0.07426897148543393,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,same_schema_external_baseline,completed_result,official_completed,0,[],official_code_qwen3base_default_hparams_declared_adaptation,https://github.com/BlueGhostYi/ProRec,48a3a3d5075c1112c793b9bfc78de9a8b000ffe2,official_default_or_recommended,False,outputs/summary/sports_official_ccrp_gate_20260601.json,outputs/summary/sports_official_ccrp_20260601_comparison.csv,outputs/summary/sports_official_ccrp_20260601_paired_tests.csv,outputs/summary/sports_official_ccrp_20260601_paired_summary.json,sports_domain_pass,True,True,56,True,0.0272,0.0164,1.219129314796352e-06,outputs/baselines/official_adapters/sports_large10000_100neg_proex_profile_official_qwen3base_same_candidate,outputs\baselines\official_adapters\sports_large10000_100neg_proex_profile_official_qwen3base_same_candidate\fairness_provenance.json,outputs\baselines\official_adapters\sports_large10000_100neg_proex_profile_official_qwen3base_same_candidate\server_final_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_proex_profile_official_qwen3base_same_candidate\server_large_artifact_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_proex_profile_official_qwen3base_same_candidate\light_evidence_sync_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_proex_profile_official_qwen3base_same_candidate\local_light_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_proex_profile_official_qwen3base_same_candidate\proex_official_score_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_proex_profile_official_qwen3base_same_candidate\proex_profile_same_candidate_score_audit.txt,outputs\baselines\official_adapters\sports_large10000_100neg_proex_profile_official_qwen3base_same_candidate\proex_official_run_summary.json,True,True,,,,,,,,main_official_comparison_eligible,
sports,promax_profile,official_baseline,8,0.0825,0.1387,0.237,0.05418479544848338,0.07215334114813154,0.09675935910495721,0.07410527472370795,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,same_schema_external_baseline,completed_result,official_completed,0,[],official_code_qwen3base_default_hparams_declared_adaptation,https://github.com/BlueGhostYi/ProRec,48a3a3d5075c1112c793b9bfc78de9a8b000ffe2,official_default_or_recommended,False,outputs/summary/sports_official_ccrp_gate_20260601.json,outputs/summary/sports_official_ccrp_20260601_comparison.csv,outputs/summary/sports_official_ccrp_20260601_paired_tests.csv,outputs/summary/sports_official_ccrp_20260601_paired_summary.json,sports_domain_pass,True,True,56,True,0.0272,0.0164,1.219129314796352e-06,outputs/baselines/official_adapters/sports_large10000_100neg_promax_profile_official_qwen3base_same_candidate,outputs\baselines\official_adapters\sports_large10000_100neg_promax_profile_official_qwen3base_same_candidate\fairness_provenance.json,outputs\baselines\official_adapters\sports_large10000_100neg_promax_profile_official_qwen3base_same_candidate\server_final_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_promax_profile_official_qwen3base_same_candidate\server_large_artifact_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_promax_profile_official_qwen3base_same_candidate\light_evidence_sync_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_promax_profile_official_qwen3base_same_candidate\local_light_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_promax_profile_official_qwen3base_same_candidate\promax_official_score_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_promax_profile_official_qwen3base_same_candidate\promax_profile_same_candidate_score_audit.txt,outputs\baselines\official_adapters\sports_large10000_100neg_promax_profile_official_qwen3base_same_candidate\promax_official_run_summary.json,True,True,,,,,,,,main_official_comparison_eligible,
sports,elmrec_graph,official_baseline,9,0.0532,0.1054,0.2013,0.0317045492853883,0.048371635820857316,0.07235047327652501,0.05370098509340962,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,same_schema_external_baseline,completed_result,official_completed,0,[],official_code_qwen3base_default_hparams_declared_adaptation,https://github.com/WangXFng/ELMRec,b28c4f786d89fb8473ab358e12a882b30259f627,official_default_or_recommended,False,outputs/summary/sports_official_ccrp_gate_20260601.json,outputs/summary/sports_official_ccrp_20260601_comparison.csv,outputs/summary/sports_official_ccrp_20260601_paired_tests.csv,outputs/summary/sports_official_ccrp_20260601_paired_summary.json,sports_domain_pass,True,True,56,True,0.0272,0.0164,1.219129314796352e-06,outputs/baselines/official_adapters/sports_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate,outputs\baselines\official_adapters\sports_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate\fairness_provenance.json,outputs\baselines\official_adapters\sports_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate\server_final_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate\server_large_artifact_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate\light_evidence_sync_manifest.json,outputs\baselines\official_adapters\sports_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate\local_light_evidence_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate\elmrec_official_score_audit.json,outputs\baselines\official_adapters\sports_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate\elmrec_graph_same_candidate_score_audit.txt,outputs\baselines\official_adapters\sports_large10000_100neg_elmrec_graph_official_qwen3base_same_candidate\elmrec_official_run_summary.json,True,True,,,,,,,,main_official_comparison_eligible,
toys,ccrp_v3_qwen3base_pointwise,internal_method,1,0.3172,0.3964,0.5059,0.2451904009717959,0.27079859856897753,0.298341205798594,0.2503049488607351,10000,101.0,1.0,10000,1010000,1010000,1010001,10000,,10001,same_schema_internal_method,completed_result,internal_completed,0,[],same_schema_internal_method,,,,,outputs/summary/toys_official_gate_final_20260602_1900.json,outputs/summary/toys_official_ccrp_20260602_1900_comparison.csv,outputs/summary/toys_official_ccrp_20260602_1900_paired_tests.csv,outputs/summary/toys_official_ccrp_20260602_1900_paired_summary.json,toys_domain_pass,True,True,56,True,0.0193,0.008297500000000001,0.0004061119980698498,,,,,,,,,,,,outputs\toys_large10000_100neg_ccrp_v3\report.json,outputs\toys_large10000_100neg_ccrp_v3\user_ranks.jsonl,outputs\toys_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate\tables\same_candidate_external_baseline_summary.csv,outputs\toys_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate\tables\ranking_eval_records.csv,outputs\toys_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate\tables\ranking_metrics.csv,outputs\toys_large10000_100neg_ccrp_v3_qwen3base_pointwise_same_candidate\tables\external_score_coverage.csv,True,main_internal_comparison_compact_certificate,
